inning,hitter_hand,balls,strikes,runner_1b,runner_2b,runner_3b,outs,pitch_type
1,R,0,0,1,1,1,2,SL
1,R,1,0,1,0,1,1,SL
1,R,0,0,1,0,1,1,SL
2,L,2,2,0,0,1,1,SL
2,L,1,1,0,0,1,1,SL
4,L,2,1,0,1,1,1,SL
4,L,0,1,0,1,1,1,SL
5,R,2,2,0,0,1,2,SL
5,L,3,2,0,0,1,1,SL
2,L,1,0,0,1,1,2,SL
3,L,2,2,0,0,1,1,SL
3,L,2,1,0,0,1,1,SL
3,L,1,1,0,0,1,1,SL
3,R,2,1,0,0,1,2,SL
3,R,1,0,0,0,1,2,SL
3,R,0,0,0,0,1,2,SL
1,R,0,0,1,0,1,2,SL
4,L,1,2,0,0,1,2,SL
4,L,1,1,0,0,1,2,SL
5,L,1,2,0,1,1,1,SL
5,L,0,2,0,1,1,1,SL
5,L,0,1,0,1,1,1,SL
3,R,1,0,1,1,1,1,SL
3,R,0,0,1,1,1,1,SL
3,R,2,1,0,0,1,2,SL
3,R,1,1,0,0,1,2,SL
3,R,0,0,1,0,1,1,SL
1,R,0,1,0,0,1,2,SL
2,L,3,2,0,0,1,2,SL
2,R,1,1,0,1,1,2,SL
2,R,0,1,0,1,1,2,SL
2,R,1,2,0,1,1,1,SL
2,R,1,2,0,1,1,1,SL
2,R,0,0,0,1,1,1,SL
6,R,0,1,0,0,1,2,SL
6,R,0,0,0,0,1,2,SL
6,R,2,2,0,1,1,2,SL
6,R,0,1,1,0,1,2,SL
6,R,0,0,1,0,1,2,SL
6,R,3,2,0,0,1,2,SL
6,R,2,1,0,0,1,2,SL
7,R,2,1,0,1,1,0,SL
7,R,1,0,0,1,1,0,SL
7,R,0,0,0,1,1,0,SL
5,R,2,1,0,1,1,2,SL
5,R,1,0,0,1,1,2,SL
5,R,0,0,0,1,1,2,SL
6,R,0,0,0,0,1,2,SL
4,L,0,2,1,0,1,0,SL
4,L,0,1,1,0,1,0,SL
3,R,0,0,0,0,1,2,SL
2,L,3,2,0,1,1,1,SL
2,L,3,0,0,1,1,1,SL
2,L,0,0,0,1,1,1,SL
4,R,0,0,1,1,1,1,SL
